year,city,country,avg_temp,movingavg_15y
1750,Budapest,Hungary,10.55,
1751,Budapest,Hungary,10.89,
1752,Budapest,Hungary,4.74,
1753,Budapest,Hungary,9.66,
1754,Budapest,Hungary,9.55,
1755,Budapest,Hungary,9.35,
1756,Budapest,Hungary,10.24,
1757,Budapest,Hungary,9.92,
1758,Budapest,Hungary,8.71,
1759,Budapest,Hungary,9.73,
1760,Budapest,Hungary,9.49,
1761,Budapest,Hungary,10.13,
1762,Budapest,Hungary,9.72,
1763,Budapest,Hungary,9.22,
1764,Budapest,Hungary,10.02,9.461333333
1765,Budapest,Hungary,9.8,9.411333333
1766,Budapest,Hungary,9.69,9.331333333
1767,Budapest,Hungary,9.15,9.625333333
1768,Budapest,Hungary,8.48,9.546666667
1769,Budapest,Hungary,9.46,9.540666667
1770,Budapest,Hungary,9.49,9.55
1771,Budapest,Hungary,8.94,9.463333333
1772,Budapest,Hungary,10.68,9.514
1773,Budapest,Hungary,10.14,9.609333333
1774,Budapest,Hungary,9.89,9.62
1775,Budapest,Hungary,10.61,9.694666667
1776,Budapest,Hungary,9.26,9.636666667
1777,Budapest,Hungary,9.38,9.614
1778,Budapest,Hungary,10.63,9.708
1779,Budapest,Hungary,10.77,9.758
1780,Budapest,Hungary,9.5,9.738
1781,Budapest,Hungary,10.49,9.791333333
1782,Budapest,Hungary,9.3,9.801333333
1783,Budapest,Hungary,10.21,9.916666667
1784,Budapest,Hungary,9.22,9.900666667
1785,Budapest,Hungary,8.47,9.832666667
1786,Budapest,Hungary,8.81,9.824
1787,Budapest,Hungary,9.99,9.778
1788,Budapest,Hungary,9.5,9.735333333
1789,Budapest,Hungary,10.07,9.747333333
1790,Budapest,Hungary,10.1,9.713333333
1791,Budapest,Hungary,10.7,9.809333333
1792,Budapest,Hungary,9.77,9.835333333
1793,Budapest,Hungary,9.77,9.778
1794,Budapest,Hungary,10.8,9.78
1795,Budapest,Hungary,9.73,9.795333333
1796,Budapest,Hungary,9.95,9.759333333
1797,Budapest,Hungary,11.28,9.891333333
1798,Budapest,Hungary,10.28,9.896
1799,Budapest,Hungary,8.47,9.846
1800,Budapest,Hungary,9.93,9.943333333
1801,Budapest,Hungary,10.75,10.07266667
1802,Budapest,Hungary,10.76,10.124
1803,Budapest,Hungary,9.11,10.098
1804,Budapest,Hungary,9.4,10.05333333
1805,Budapest,Hungary,8.28,9.932
1806,Budapest,Hungary,10.58,9.924
1807,Budapest,Hungary,10.49,9.972
1808,Budapest,Hungary,8.93,9.916
1809,Budapest,Hungary,9.37,9.820666667
1810,Budapest,Hungary,9.63,9.814
1811,Budapest,Hungary,10.6,9.857333333
1812,Budapest,Hungary,8.72,9.686666667
1813,Budapest,Hungary,9.23,9.616666667
1814,Budapest,Hungary,8.84,9.641333333
1815,Budapest,Hungary,9.05,9.582666667
1816,Budapest,Hungary,8.86,9.456666667
1817,Budapest,Hungary,9.68,9.384666667
1818,Budapest,Hungary,10.01,9.444666667
1819,Budapest,Hungary,9.86,9.475333333
1820,Budapest,Hungary,9.36,9.547333333
1821,Budapest,Hungary,9.75,9.492
1822,Budapest,Hungary,10.91,9.52
1823,Budapest,Hungary,9.66,9.568666667
1824,Budapest,Hungary,10.57,9.648666667
1825,Budapest,Hungary,10.12,9.681333333
1826,Budapest,Hungary,9.74,9.624
1827,Budapest,Hungary,10.17,9.720666667
1828,Budapest,Hungary,9.56,9.742666667
1829,Budapest,Hungary,7.77,9.671333333
1830,Budapest,Hungary,9.36,9.692
1831,Budapest,Hungary,9.53,9.736666667
1832,Budapest,Hungary,8.79,9.677333333
1833,Budapest,Hungary,9.74,9.659333333
1834,Budapest,Hungary,10.93,9.730666667
1835,Budapest,Hungary,9.22,9.721333333
