year,city,country,avg_temp,movingavg_15y
1875,Lusaka,Zambia,19.38,
1876,Lusaka,Zambia,19.77,
1877,Lusaka,Zambia,20.3,
1878,Lusaka,Zambia,20.4,
1879,Lusaka,Zambia,19.41,
1880,Lusaka,Zambia,19.61,
1881,Lusaka,Zambia,19.78,
1882,Lusaka,Zambia,19.8,
1883,Lusaka,Zambia,19.82,
1884,Lusaka,Zambia,19.57,
1885,Lusaka,Zambia,19.96,
1886,Lusaka,Zambia,20.03,
1887,Lusaka,Zambia,19.75,
1888,Lusaka,Zambia,19.88,
1889,Lusaka,Zambia,20.44,19.86
1890,Lusaka,Zambia,19.66,19.87866667
1891,Lusaka,Zambia,19.83,19.88266667
1892,Lusaka,Zambia,20.02,19.864
1893,Lusaka,Zambia,19.87,19.82866667
1894,Lusaka,Zambia,20.06,19.872
1895,Lusaka,Zambia,20.19,19.91066667
1896,Lusaka,Zambia,20.38,19.95066667
1897,Lusaka,Zambia,20.3,19.984
1898,Lusaka,Zambia,19.9,19.98933333
1899,Lusaka,Zambia,20.08,20.02333333
1900,Lusaka,Zambia,20.53,20.06133333
1901,Lusaka,Zambia,20.12,20.06733333
1902,Lusaka,Zambia,20.34,20.10666667
1903,Lusaka,Zambia,20.36,20.13866667
1904,Lusaka,Zambia,19.3,20.06266667
1905,Lusaka,Zambia,20.16,20.096
1906,Lusaka,Zambia,19.94,20.10333333
1907,Lusaka,Zambia,19.52,20.07
1908,Lusaka,Zambia,20.23,20.094
1909,Lusaka,Zambia,20.13,20.09866667
1910,Lusaka,Zambia,19.75,20.06933333
1911,Lusaka,Zambia,19.83,20.03266667
1912,Lusaka,Zambia,20.62,20.054
1913,Lusaka,Zambia,20.59,20.1
1914,Lusaka,Zambia,20.79,20.14733333
1915,Lusaka,Zambia,20.58,20.15066667
1916,Lusaka,Zambia,20.35,20.166
1917,Lusaka,Zambia,20.25,20.16
1918,Lusaka,Zambia,19.7,20.116
1919,Lusaka,Zambia,20.06,20.16666667
1920,Lusaka,Zambia,20.53,20.19133333
1921,Lusaka,Zambia,20.3,20.21533333
1922,Lusaka,Zambia,21.01,20.31466667
1923,Lusaka,Zambia,20.62,20.34066667
1924,Lusaka,Zambia,20.51,20.366
1925,Lusaka,Zambia,19.96,20.38
1926,Lusaka,Zambia,20.44,20.42066667
1927,Lusaka,Zambia,20.22,20.394
1928,Lusaka,Zambia,20.49,20.38733333
1929,Lusaka,Zambia,20.38,20.36
1930,Lusaka,Zambia,20.18,20.33333333
1931,Lusaka,Zambia,20.72,20.358
1932,Lusaka,Zambia,20.32,20.36266667
1933,Lusaka,Zambia,20.07,20.38733333
1934,Lusaka,Zambia,20.28,20.402
1935,Lusaka,Zambia,20.19,20.37933333
1936,Lusaka,Zambia,19.98,20.358
1937,Lusaka,Zambia,19.98,20.28933333
1938,Lusaka,Zambia,20.49,20.28066667
1939,Lusaka,Zambia,19.85,20.23666667
